iata,name,location,country
IAO,Siargao - Sayak Airport,Surigao del Norte,Phillipines
AML,Puerto Armuellas Airport,Puerto Armuellas,Panama
AZG,Pablo L. Sidar Airport,"Apatzingán, Michoacán",Mexico
BKC,Buckland Airport,"Buckland, Alaska",United States
BVE,Brive – Souillac Airport,Brive-la-Gaillarde,France
CGY,Laguindingan International Airport,Cagayan de Oro City,Philippines
CSY,Cheboksary Airport,"Cheboksary, Chuvashia",Russia
DLL,Dillon County Airport,"Dillon, South Carolina",United States
ELO,Eldorado Airport,"Eldorado, Misiones",Argentina
FMA,Formosa International Airport (El Pucú Airport),Formosa,Argentina
GLM,Glenormiston Airport,"Glenormiston, Queensland",Australia
HEI,Heide-Büsum Airport,"Heide, Schleswig-Holstein",Germany
IAR,Yaroslavl Airport,Yaroslavl,Russia
JAI,Jaipur Airport (Sanganer Airport),Jaipur / Sanganer,India
KCG,Chignik Fisheries Airport (closed),"Chignik, Alaska",United States
KOR,Kokoro Airport,Kokoro,Papua New Guinea
LCS,Las Canas Airport,Las Canas,Costa Rica
LRJ,Le Mars Municipal Airport,"Le Mars, Iowa",United States
MEP,Mersing Airport,Johor,Malaysia
MPP,Mulatupo Airport,Mulatupo,Panamá
NBG,NAS JRB New Orleans (Alvin Callender Field),"New Orleans, Louisiana",United States
ONA,Winona Municipal Airport (Max Conrad Field),"Winona, Minnesota",United States
PMY,El Tehuelche Airport,Puerto Madryn,Argentina
RCQ,Reconquista Airport,"Reconquista, Santa Fe",Argentina
SFE,San Fernando Airport,"San Fernando City, La UNION",Philippines
SUX,Sioux Gateway Airport (Colonel Bud Day Field),"Sioux City, Iowa",United States
TPA,Tampa International Airport,"Tampa, Florida",United States
VHN,Culberson County Airport,"Van Horn, Texas",United States
XKL,KL City Air Terminal,Kuala Lumpur,Malaysia
YLJ,Meadow Lake Airport,"Meadow Lake, Saskatchewan",Canada
YZT,Port Hardy Airport,"Port Hardy, British Columbia",Canada
ZVE,Union Station,"New Haven, Connecticut",United States
AAA,Anaa Airport,"Anaa, Tuamotus",French Polynesia
AMM,Queen Alia International Airport,Amman,Jordan
AZI,Bateen Airport,Abu Dhabi,United Arab Emirates
BKD,Stephens County Airport,"Breckenridge, Texas",United States
BVF,Dama Airport,Bua,Fiji
CGZ,Casa Grande Municipal Airport,"Casa Grande, Arizona",United States
CSZ,Brigadier Hector Eduardo Ruiz Airport,"Coronel Suárez, Buenos Aires",Argentina
DLM,Dalaman Airport,Mu?la,Turkey
ELP,El Paso International Airport,"El Paso, Texas",United States
FMC,Five Mile Airport,"Five Mile, Alaska",United States
GLN,Goulimime Airport,Goulimime,Morocco
HEK,Heihe Airport,"Heihe, Heilongjiang",China
IAS,Ia?i International Airport,Ia?i,Romania
JAK,Jacmel Airport,Jacmel,Haiti
KCH,Kuching International Airport,"Kuching, Sarawak",Malaysia
KOS,Sihanoukville Airport (Kompong Som),Sihanoukville,Cambodia
LCV,Tassignano Airport,Lucca,Italy
LRL,Niamtougou International Airport,Niamtougou,Togo
MEQ,Seunagan Airport,Meulaboh,Indonesia
MPQ,Ma'an Airport,Ma'an,Jordan
NBK,Suvarnabhumi International Airport,Bangkok,Thailand
ONH,Oneonta Municipal Airport,"Oneonta, New York",United States
PMZ,Palmar Sur Airport,Palmar Sur,Costa Rica
RCR,Fulton County Airport,"Rochester, Indiana",United States
SFF,Felts Field,"Spokane, Washington",United States
SVA,Savoonga Airport,"Savoonga, Alaska",United States
TPE,Taiwan Taoyuan International Airport,"Taoyuan County, Taiwan",China
VHV,Verkhnevilyuysk Airport,"Verkhnevilyuysk, Woehee Bueluue District, Sakha Republic",Russia
XKO,Kemano Airport,"Kemano, British Columbia",Canada
YLL,Lloydminster Airport,"Lloydminster, Alberta/Saskatchewan",Canada
YZU,Whitecourt Airport,"Whitecourt, Alberta",Canada
ZVM,Hannover Messe Bahnhof,,Germany
AAB,Arrabury Airport,"Arrabury, Queensland",Australia
AMN,Gratiot Community Airport,"Alma, Michigan",United States
AZN,Andizhan Airport,Andizhan,Uzbekistan
BKE,Baker City Municipal Airport,"Baker City, Oregon",United States
BVG,Berlevåg Airport,Berlevåg,Norway
CHA,Chattanooga Metropolitan Airport (Lovell Field),"Chattanooga, Tennessee",United States
CTA,Catania–Fontanarossa Airport,"Catania, Sicily",Italy
DLN,Dillon Airport,"Dillon, Montana",United States
ELQ,Gassim Regional Airport,Buraidah,Saudi Arabia
FME,Tipton Airport (Fort Meade),"Odenton, Maryland",United States
GLO,Gloucester Airport,"Gloucester / Cheltenham, England",United Kingdom
HEL,Helsinki Airport,Helsinki / Vantaa,Finland
IAU,Iaura Airport,Iaura,Papua New Guinea
JAL,El Lencero Airport,"Jalapa, Veracruz",Mexico
KCI,Kon Airport,Kon,Indonesia
KOT,Kotlik Airport,"Kotlik, Alaska",United States
LCX,Longyan Guanzhishan Airport,"Longyan, Fujian",China
LRM,La Romana International Airport (Casa de Campo International Airport),La Romana,Dominican Republic
MER,Castle Airport,"Atwater, California",United States
MPR,McPherson Airport,"McPherson, Kansas",United States
NBO,Jomo Kenyatta International Airport,Nairobi,Kenya
ONJ,Odate-Noshiro Airport,"Kitaakita, Akita",Japan
PNA,Pamplona Airport,Pamplona,Spain
RCS,Rochester Airport,"Rochester, Kent, England",United Kingdom
SFH,San Felipe International Airport,"San Felipe, Baja California",Mexico
SVC,Grant County Airport,"Silver City, New Mexico",United States
TPF,Peter O. Knight Airport,"Tampa, Florida",United States
VIA,Videira Airport,"Videira, Santa Catarina",Brazil
XKS,Kasabonika Airport,"Kasabonika First Nation, Ontario",Canada
YLN,Yilan Airport,"Yilan, Heilongjiang",China
YZV,Sept-Îles Airport,"Sept-Îles, Quebec",Canada
ZVR,Hannover Hauptbahnhof,,Germany
AAC,El Arish International Airport,El Arish,Egypt
AMO,Mao Airport,Mao,Chad
AZO,Kalamazoo/Battle Creek International Airport,"Kalamazoo/Battle Creek, Michigan",United States
BKF,Brooks Lake Sea Plane Base,"Brooks Lake, Alaska",United States
BVH,Vilhena Airport,"Vilhena, Rondônia",Brazil
CHB,Chilas Airport,Chilas,Pakistan
CTB,Cut Bank Municipal Airport,"Cut Bank, Montana",United States
DLP,Disneyland Resort Paris Airport,"Disneyland Resort Paris, Paris",France
ELR,Irian Jaya Airport (Elelim Airport),Elelim,Indonesia
FMH,Otis ANGB (Cape Cod CGAS),"Falmouth, Massachusetts",United States
GLP,Gulgubip Airport,Gulgubip,Papua New Guinea
HEM,Helsinki-Malmi Airport,Helsinki / Malmi,Finland
IBA,Ibadan Airport,Ibadan,Nigeria
JAM,Bezmer Air Base,Yambol (Jambol),Bulgaria
KCJ,Komaio Airport,Komaio,Papua New Guinea
KOU,Koulamoutou Airport,Koulamoutou,Gabon
LCY,London City Airport,"London, England",United Kingdom
LRQ,Laurie River Airport,"Laurie River, Manitoba",Canada
MES,Polonia International Airport,Medan,Indonesia
MPT,Maliana Airport,Maliana,East Timor (Timor-Leste)
NBS,Changbaishan Airport,"Baishan, Jilin",China
ONK,Olenyok Airport,"Olenyok, Sakha Republic",Russia
PNC,Ponca City Regional Airport,"Ponca City, Oklahoma",United States
RCT,Nartron Field,"Reed City, Michigan",United States
SFJ,Kangerlussuaq Airport,Kangerlussuaq,Greenland
SVD,E.T. Joshua Airport,"Arno Vale, Saint Vincent",Saint Vincent and the Grenadines
TPH,Tonopah Airport,"Tonopah, Nevada",United States
VIC,Vicenza Airport,Vicenza,Italy
XKY,Kaya Airport,Kaya,Burkina Faso
YLO,Shilo Airport,"Shilo, Manitoba",Canada
YZW,Teslin Airport,"Teslin, Yukon",Canada
ZWC,Stavanger Station,Hanover,Norway
AAD,Ad-Dabbah Airport,Al Dabbah,Sudan
AMP,Ampanihy Airport,Ampanihy,Madagascar
AZP,Atizapan Airport,Mexico City,Mexico
BKG,Branson Airport,"Branson, Missouri",United States
BVI,Birdsville Airport,"Birdsville, Queensland",Australia
CHC,Christchurch International Airport,Christchurch,New Zealand
CTC,Coronel Felipe Varela Airport,"Catamarca, Catamarca",Argentina
DLS,Columbia Gorge Regional Airport (The Dalles Municipal Airport),"The Dalles, Oregon",United States
ELS,East London Airport,East London,South Africa
FMI,Kalemie Airport,Kalemie,Democratic Republic of the Congo
GLR,Gaylord Regional Airport,"Gaylord, Michigan",United States
HEO,Haelogo Airport,Haelogo,Papua New Guinea
IBE,Perales Airport,Ibagué,Colombia
JAN,Jackson-Evers International Airport,"Jackson, Mississippi",United States
KCK,Kirensk Airport,"Kirensk, Irkutsk Oblast",Russia
KOV,Kokshetau Airport,Kokshetau,Kazakhstan
LDA,Malda Airport,Malda,India
LRR,Lar Airport,Lar,Iran
MET,Moreton Airport,"Moreton, Queensland",Australia
MPU,Mapua Airport,Mapua,Papua New Guinea
NBW,NAS Guantanamo Bay,Guantanamo Bay,Cuba
ONL,O'Neill Municipal Airport (John L.Baker Field),"O'Neill, Nebraska",United States
PNE,Northeast Philadelphia Airport,"Philadelphia, Pennsylvania",United States
RCU,Aeropuerto de Río Cuarto,"Río Cuarto, Córdoba",Argentina
SFL,São Filipe Airport,Fogo,Cape Verde
SVE,Susanville Municipal Airport,"Susanville, California",United States
TPL,Draughon-Miller Central Texas Regional Airport,"Temple, Texas",United States
VID,Vidin Airport,Vidin,Bulgaria
XLB,Lac Brochet Airport,"Lac Brochet, Manitoba",Canada
YLP,Mingan Airport,"Mingan, Quebec",Canada
YZX,CFB Greenwood / Greenwood Airport,"Greenwood, Nova Scotia",Canada
ZWE,Antwerpen-Centraal Railway Station,Antwerp,Belgium
AAE,Rabah Bitat Airport (Les Salines Airport),Annaba,Algeria
AMQ,Pattimura Airport,Ambon,Indonesia
AZR,Touat Cheikh Sidi Mohamed Belkebir Airport,Adrar,Algeria
BKH,Barking Sands PMRF,"Kekaha, Hawaii",United States
BVK,Huacaraje Airport,Huacaraje,Bolivia
CHE,Reenroe Airport,"Cahersiveen, County Kerry",Ireland
CTD,Herrera Alonso Valderrama Airport,Chitré,Panama
DLU,Dali Airport,"Dali, Yunnan",China
ELT,Tour Sinai City Airport,El Tor,Egypt
FMM,Allgäu Airport,"Memmingen, Bavaria",Germany
GLS,Scholes International Airport at Galveston,"Galveston, Texas",United States
HER,"Heraklion International Airport, Nikos Kazantzakis","Heraklion, Crete",Greece
IBI,Iboki Airport,Iboki,Papua New Guinea
JAQ,Jacquinot Bay Airport,Jacquinot Bay,Papua New Guinea
KCL,Chignik Lagoon Airport (Chignik Flats Airport),"Chignik Lagoon, Alaska",United States
KOW,Ganzhou Huangjin Airport,"Ganzhou, Jiangxi",China
LDB,Londrina Airport,"Londrina, Paraná",Brazil
LRS,Leros Island National Airport,Leros,Greece
MEU,Monte Dourado Airport,"Almeirim, Pará",Brazil
MPV,Edward F.Knapp State Airport,"Barre / Montpelier, Vermont",United States
NBX,Nabire Airport,Nabire,Indonesia
ONM,Socorro Municipal Airport,"Socorro, New Mexico",United States
PNH,Phnom Penh International Airport,Phnom Penh,Cambodia
RDA,Rockhampton Downs Airport,"Rockhampton Downs, Northern Territory",Australia
SFM,Sanford Seacoast Regional Airport,"Sanford, Maine",United States
SVF,Savé Airport,Savé,Benin
TPQ,Amado Nervo National Airport,"Tepic, Nayarit",Mexico
VIE,Vienna International Airport,Vienna,Austria
XLO,Long Xuyen Airport,Long Xuyen,Vietnam
YLQ,La Tuque Airport,"La Tuque, Quebec",Canada
YZY,Zhangye Ganzhou Airport,"Zhangye, Gansu",China
ZWI,Wilmington Station,"Wilmington, Delaware",United States
AAF,Apalachicola Municipal Airport,"Apalachicola, Florida",United States
AMR,Arno Airport,Arno,Marshall Islands
AZS,Samaná El Catey International Airport,"El Catey, Samaná",Dominican Republic
BKI,Kota Kinabalu International Airport,Kota Kinabalu,Malaysia
BVL,Baures Airport,Baures,Bolivia
CHF,Chinhae Airport,Chinhae,South Korea
CTE,Carti Airport,Cartí,Panama
DLV,Delissaville Airport,"Delissaville, Northern Territory",Australia
ELU,Guemar Airport,El Oued,Algeria
FMN,Four Corners Regional Airport,"Farmington, New Mexico",United States
GLT,Gladstone Airport,"Gladstone, Queensland",Australia
HES,Hermiston Municipal Airport,"Hermiston, Oregon",United States
IBL,Indigo Bay Lodge Airport,Bazaruto Island,Mozambique
JAS,Jasper County Airport (Bell Field),"Jasper, Texas",United States
KCM,Kahramanmaras Airport,Kahramanmaras,Turkey
KOX,Kokonao Airport,Kokonao,Indonesia
LDC,Lindeman Island Airport,"Lindeman Island, Queensland",Australia
LRT,Lorient South Brittany Airport,Lorient,France
MEV,Minden-Tahoe Airport,"Minden, Nevada",United States
MPW,Mariupol Airport,Mariupol,Ukraine
NCA,North Caicos Airport,North Caicos,Turks and Caicos Islands
ONN,Onion Bay Airport,"Onion Bay, Alaska",United States
PNI,Pohnpei International Airport,Kolonia,Federated States of Micronesia
RDD,Redding Municipal Airport,"Redding, California",United States
SFO,San Francisco International Airport,"San Francisco, California",United States
SVG,"Stavanger Airport, Sola",Stavanger,Norway
TPR,Tom Price Airport,"Tom Price, Western Australia",Australia
VIF,Vieste Airport,Vieste,Italy
XLS,Saint-Louis Airport,Saint-Louis,Senegal
YLS,Lebel-sur-Quévillon Airport,"Lebel-sur-Quévillon, Quebec",Canada
ZAA,Alice Arm Airport,"Alice Arm, British Columbia",Canada
ZWU,Union Station,"Washington, D.C.",United States
AAG,Arapoti Airport,"Arapoti, Paraná",Brazil
AMS,Amsterdam Airport Schiphol,Haarlemmermeer,Netherlands
AZT,Zapatoca Airport,Zapatoca,Colombia
BKJ,Boké Baralande Airport,Boké,Guinea
BVM,Belmonte Airport,"Belmonte, Bahia",Brazil
CHG,Chaoyang Airport,"Chaoyang, Liaoning",China
CTF,Coatepeque Airport,"Coatepeque, Quetzaltenango",Guatemala
DLY,Dillon's Bay Airport,"Dillon's Bay, Erromango, Taféa",Vanuatu
ELV,Elfin Cove Seaplane Base,"Elfin Cove, Alaska",United States
FMO,Münster Osnabrück International Airport,"Greven, North Rhine-Westphalia",Germany
GLV,Golovin Airport,"Golovin, Alaska",United States
HET,Hohhot Baita International Airport,"Hohhot, Inner Mongolia",China
IBO,Ibo Airport,Ibo,Mozambique
JAT,Jabot Airport,Jabat Island,Marshall Islands
KCN,Chernofski Harbor Seaplane Base,"Chernofski Harbor, Alaska",United States
KOY,Olga Bay Seaplane Base,"Olga Bay, Kodiak Island Borough, Alaska",United States
LDE,Tarbes - Lourdes Pyrenees Airport,Lourdes,France
LRU,Las Cruces International Airport,"Las Cruces, New Mexico",United States
MEW,Mweka Airport,Mweka,Democratic Republic of the Congo
MPX,Miyanmin Airport,Miyanmin,Papua New Guinea
NCE,Côte d'Azur International Airport,Nice,France
ONO,Ontario Municipal Airport,"Ontario, Oregon",United States
PNK,Supadio Airport,"Pontianak, Kalimantan",Indonesia
RDG,Reading Regional Airport (Carl A.Spaatz Field),"Reading, Pennsylvania",United States
SFQ,Sanliurfa Airport ,Sanliurfa,Turkey
SVH,Statesville Regional Airport,"Statesville, North Carolina",United States
TPS,Trapani-Birgi Airport,Trapani,Italy
VIG,Juan Pablo Perez Alfonso Airport,El Vigía,Venezuela
XLU,Leo Airport,Leo,Burkina Faso
YLR,Leaf Rapids Airport,"Leaf Rapids, Manitoba",Canada
ZAC,York Landing Airport,"York Landing, Manitoba",Canada
ZXA,Aberdeen Railway Station,,Scotland
AAH,Merzbrück Airport,Aachen,Germany
AMT,Amata Airport,"Amata, Northern Territory",Australia
AZZ,Ambriz Airport,Ambriz,Angola
BKK,Suvarnabhumi Airport(New Bangkok International Airport) (Donmuang Airport),Bangkok,Thailand
BVO,Bartlesville Municipal Airport,"Bartlesville, Oklahoma",United States
CHH,Chachapoyas Airport,Chachapoyas,Peru
CTG,Rafael Núñez International Airport,Cartagena,Colombia
DLZ,Omnogobi Airport,Dalanzadgad,Mongolia
ELW,Ellamar Seaplane Base,"Ellamar, Alaska",United States
FMS,Fort Madison Municipal Airport,"Fort Madison, Iowa",United States
GLW,Glasgow Municipal Airport,"Glasgow, Kentucky",United States
HEX,Herrera International Airport (closed),Santo Domingo,Dominican Republic
IBP,Iberia Airport,Iberia,Peru
JAU,Francisco Carle Airport,Jauja,Peru
KCO,Cengiz Topel Naval Air Station,Kocaeli,Turkey
KOZ,Ouzinkie Airport,"Ouzinkie, Alaska",United States
LDG,Leshukonskoye Airport,Leshukonskoye,Russia
LRV,Los Roques Airport,Los Roques,Venezuela
MEX,Mexico City International Airport,Mexico City,Mexico
MPY,Maripasoula Airport,Maripasoula,French Guiana
NCG,Nuevo Casas Grandes Municipal Airport,"Nuevo Casas Grandes, Chihuahua",Mexico
ONP,Newport Municipal Airport,"Newport, Oregon",United States
PNN,Princeton Municipal Airport,"Princeton, Maine",United States
RDM,Roberts Field,"Redmond, Oregon",United States
SFS,Subic Bay International Airport,"Morong, Bataan",Philippines
SVJ,"Svolvær Airport, Helle",Svolvær,Norway
TQA,Tasiusaq Heliport (Qaasuitsup),"Tasiusaq, Qaasuitsup",Greenland
VIH,Rolla National Airport,"Rolla, Missouri",United States
XLW,Lemwerder Airport,"Lemwerder, Lower Saxony",Germany
YLT,Alert Airport,"Alert, Nunavut",Canada
ZAD,Zadar Airport,Zadar,Croatia
ZXE,Edinburgh Waverley Railway Station,,Scotland
AAI,Arraias Airport,"Arraias, Tocantins",Brazil
AMU,Amanab Airport,Amanab,Papua New Guinea
BAA,Bialla Airport,Bialla,Papua New Guinea
BKL,Burke Lakefront Airport,"Cleveland, Ohio",United States
BVP,Bolovip Airport,Bolovip,Papua New Guinea
CHI,All Airports,Chicago,United States
CTH,Chester County G. O. Carlson Airport,"Coatesville, Pennsylvania",United States
DMA,Davis Monthan Air Force Base,"Tucson, Arizona",United States
ELX,El Tigre Airport,El Tigre,Venezuela
FMY,Page Field,"Fort Myers, Florida",United States
GLX,Gamarmalamo Airport (Galela Airport),"Galela, North Maluku",Indonesia
HEY,Hanchey Army Heliport,"Fort Rucker, Dale County, Alabama",United States
IBZ,Ibiza Airport,Ibiza,Spain
JAV,Ilulissat Airport,Ilulissat,Greenland
KCP,Kamenets-Podolskiy Airport,Kamianets-Podilskyi,Ukraine
KPA,Kopiago Airport,Kopiago,Papua New Guinea
LDH,Lord Howe Island Airport,"Lord Howe Island, New South Wales",Australia
LSA,Losuia Airport (Kiriwina Airfield),"Losuia, Kiriwina Island",Papua New Guinea
MEY,Meghauli Airport,Meghauli,Nepal
MPZ,Mount Pleasant Municipal Airport,"Mount Pleasant, Iowa",United States
NCL,Newcastle Airport,Newcastle upon Tyne,United Kingdom
ONQ,Zonguldak Airport,Zonguldak,Turkey
PNQ,Pune International Airport,Pune,India
RDR,Grand Forks Air FORCE Base,"Grand Forks, North Dakota",United States
SFT,Skellefteå Airport,"Skellefteå, Skellefteå",Sweden
SVN,Hunter Army Airfield,"Savannah, Georgia",United States
TQI,Tiniteqilaaq Heliport,Tiniteqilaaq,Greenland
VII,Vinh Airport,"Vinh, Nghe An",Vietnam
XMA,Maramag Airport,"Maramag, Bukidnon",Philippines
YLW,Kelowna International Airport,"Kelowna, British Columbia",Canada
ZAG,Zagreb Airport (Pleso Airport),Zagreb,Croatia
ZXS,Buffalo-Exchange Street Station,"Buffalo, New York",United States
AAJ,Cayana Airstrip,Awaradam,Suriname
AMV,Amderma Airport,Amderma,Russia
BAB,Beale Air Force Base,"Marysville, California",United States
BKM,Bakalalan Airport,"Bakalalan, Sarawak",Malaysia
BVR,Esparadinha Airport,"Esparadinha, Brava Island",Cape Verde
CHJ,Chipinge Airport,Chipinge,Zimbabwe
CTI,Cuito Cuanavale Airport,Cuito Cuanavale,Angola
DMB,Taraz Airport (Zhambul Airport),Taraz (formerly Dzhambul and Aulie-Ata),Kazakhstan
ELY,Ely Airport,"Ely, Nevada",United States
FNA,Lungi International Airport,Freetown,Sierra Leone
GLY,Goldsworthy Airport,"Goldsworthy, Western Australia",Australia
HEZ,Natchez-Adams County Airport (Hardy-Anders Field),"Natchez, Mississippi",United States
ICA,Icabaru Airport,Icabaru,Venezuela
JAX,Jacksonville International Airport,"Jacksonville, Florida",United States
KCQ,Chignik Lake Airport,"Chignik Lake, Alaska",United States
KPB,Point Baker Seaplane Base,"Point Baker, Alaska",United States
LDI,Kikwetu Airport,Lindi,Tanzania
LSB,Lordsburg Municipal Airport,"Lordsburg, New Mexico",United States
MEZ,Messina Airport,Messina,South Africa
MQA,Mandora Station Airport,"Mandora Station, Western Australia",Australia
NCN,Chenega Bay Airport,"Chenega, Alaska",United States
ONT,Ontario International Airport,"Ontario, California",United States
PNR,Pointe Noire Airport,Pointe-Noire,Republic of the Congo
RDT,Richard Toll Airport,Richard Toll,Senegal
SFZ,North Central State Airport,"Pawtucket, Rhode Island",United States
SVO,Sheremetyevo International Airport,Moscow,Russia
TQN,Taloqan Airport,Taloqan,Afghanistan
VIJ,Virgin Gorda Airport,Virgin Gorda,British Virgin Islands
XMB,Marina Mall Airport,"Marina Mall, Dubai",UAE
YMA,Mayo Airport,"Mayo, Yukon",Canada
ZAH,Zahedan Airport,Zahedan,Iran
ZYA,Amsterdam Centraal Railway Station,,Netherlands
AAK,Aranuka Airport,Aranuka,Kiribati
AMW,Ames Municipal Airport,"Ames, Iowa",United States
BAC,Barranca de Upia Airport,"Barranca de Upia, Meta",Colombia
BKN,Birni Nkoni Airport,Birni Nkoni,Niger
BVS,Breves Airport,"Breves, Pará",Brazil
CHK,Chickasha Municipal Airport,"Chickasha, Oklahoma",United States
CTK,Canton Municipal Airport,"Canton, South Dakota",United States
DMD,Doomadgee Mission Airport,"Doomadgee Mission, Queensland",Australia
ELZ,Wellsville Municipal Airport (Tarantine Field),"Wellsville, New York",United States
FNB,Neubrandenburg Airport,"Neubrandenburg, Mecklenburg-Vorpommern",Germany
GLZ,Gilze-Rijen Air Base,Breda,Netherlands
HFA,Haifa Airport (Uri Michaeli Airport),Haifa,Israel
ICI,Cicia Airport,Cicia,Fiji
JBP,Commerce Business Park Heliport,"Commerce, California",United States
KCR,Colorado Creek Airport,"Colorado Creek, Alaska",United States
KPC,Port Clarence Coast Guard Station,"Port Clarence, Alaska",United States
LDJ,Linden Airport,"Linden, New Jersey",United States
LSC,La Florida Airport,La Serena,Chile
MFA,Mafia Island Airport,Mafia Island,Tanzania
MQB,Macomb Municipal Airport,"Macomb, Illinois",United States
NCU,Nukus Airport,Nukus,Uzbekistan
ONX,Enrique Adolfo Jiménez Airport,Colón,Panama
PNS,Pensacola International Airport,"Pensacola, Florida",United States
RDU,Raleigh–Durham International Airport,"Raleigh / Durham, North Carolina",United States
SGA,Sheghnan Airport,Sheghnan,Afghanistan
SVQ,San Pablo Airport,Seville,Spain
TQP,Trepell Airport,"Trapell, Queensland",Australia
VIL,Dakhla Airport,Dakhla,Western Sahara
XMD,Madison Municipal Airport,"Madison, South Dakota",United States
YMB,Merritt Airport,"Merritt, British Columbia",Canada
ZAJ,Zaranj Airport,Zaranj,Afghanistan
ZYN,Nîmes Railway Station,Nîmes,France
AAL,Aalborg Airport,Aalborg,Denmark
AMX,Ammaroo Airport,"Ammaroo, Northern Territory",Australia
BAD,Barksdale Air Force Base,"Bossier City, Louisiana",United States
BKO,Senou International Airport,Bamako,Mali
BVU,Beluga Airport,"Beluga, Alaska",United States
CHL,Challis Airport,"Challis, Idaho",United States
CTL,Charleville Airport,"Charleville, Queensland",Australia
DME,Domodedovo International Airport,Moscow,Russia
EMA,East Midlands Airport,"Castle Donington, Leicestershire",United Kingdom
FNC,Madeira Airport,"Funchal, Madeira",Portugal
GMA,Gemana Airport,Gemana,Democratic Republic of the Congo
HFD,Hartford-Brainard Airport,"Hartford, Connecticut",United States
ICK,Nieuw-Nickerie Airport (Maj. Fernandes Airport),Nieuw-Nickerie,Suriname
JBQ,La Isabela International Airport,La Isabela,Dominican Republic
KCS,Kings Creek Airport,"Kings Creek, Northern Territory",Australia
KPE,Yapsiei Airport,Yapsiei,Papua New Guinea
LDK,Lidköping-Hovby Airport,Lidköping,Sweden
LSE,La Crosse Regional Airport,"La Crosse, Wisconsin",United States
MFB,Monfort Airport,Monfort,Colombia
MQC,Miquelon Airport,Miquelon,Saint Pierre and Miquelon
NCY,Meythet Airport,Annecy,France
ONY,Olney Municipal Airport,"Olney, Texas",United States
PNT,Teniente Julio Gallardo Airport,Puerto Natales,Chile
RDV,Red Devil Airport,"Red Devil, Alaska",United States
SGC,Surgut Airport,Surgut,Russia
SVR,Savissivik Heliport,Savissivik,Greenland
TRC,Francisco Sarabia International Airport (Torreón Int'l),"Torreón, Coahuila",Mexico
VIN,Gavryshivka International,Vinnytsia,Ukraine
XMF,Montbéliard Courcelles Airport,Montbéliard,France
YMC,Maricourt Airstrip,"Maricourt, Quebec",Canada
ZAL,Pichoy Airport,Valdivia,Chile
ZYP,Pennsylvania Station,"New York City, New York",United States
AAM,Mala Mala Airport,Mala Mala,South Africa
AMY,Ambatomainty Airport,Ambatomainty,Madagascar
BAE,Barcelonnette - Saint-Pons Airport,"Barcelonnette / Saint-Pons, Alpes-de-Haute-Provence",France
BKP,Barkly Downs Airport,"Barkly Downs, Queensland",Australia
BVW,Batavia Downs Airport,"Batavia Downs, Queensland",Australia
CHM,Tnte. FAP Jaime Montreuil Morales Airport,"Chimbote, Ancash Region",Peru
CTM,Chetumal International Airport,"Chetumal, Quintana Roo",Mexico
DMK,Don Mueang International Airport,"Don Muang, Bangkok",Thailand
EMD,Emerald Airport,"Emerald, Queensland",Australia
FNE,Fane Airport,Fane,Papua New Guinea
GMB,Gambela Airport,Gambela,Ethiopia
HFE,Hefei Luogang International Airport,"Hefei, Anhui",China
ICL,Schenck Field,"Clarinda, Iowa",United States
JBR,Jonesboro Municipal Airport,"Jonesboro, Arkansas",United States
KCT,Koggala Airport,Galle,Sri Lanka
KPF,Kondubol Airport,Kondubol,Papua New Guinea
LDM,Mason County Airport,"Ludington, Michigan",United States
LSF,Lawson Army Airfield,"Fort Benning, Columbus, Georgia",United States
MFC,Mafeteng Airport,Mafeteng,Lesotho
MQD,Maquinchao Airport,"Maquinchao, Río Negro Province",Argentina
NDB,Nouadhibou International Airport,Nouadhibou,Mauritania
OOA,Oskaloosa Municipal Airport,"Oskaloosa, Iowa",United States
PNU,Panguitch Municipal Airport,"Panguitch, Utah",United States
RDZ,Rodez-Marcillac Airport,"Salles - La - SOURCE, Aveyron",France
SGD,Sønderborg Airport,Sønderborg,Denmark
SVS,Stevens Village Airport,"Stevens Village, Alaska",United States
TRD,"Trondheim Airport, Værnes","Trondheim, Sør-Trøndelag",Norway
VIQ,Viqueque Airport,Viqueque,East Timor
XMG,Mahendranagar Airport,"Mahendranagar, Mahakali",Nepal
YMD,Mould Bay Airport,"Mould Bay, Northwest Territories",Canada
ZAM,Zamboanga International Airport,Zamboanga City,Philippines
ZYQ,Syracuse (Amtrak Station),"Syracuse, New York",United States
AAN,Al Ain International Airport,Al Ain,United Arab Emirates
AMZ,Ardmore Airport,Ardmore,New Zealand
BAF,Barnes Municipal Airport,"Westfield / Springfield, Massachusetts",United States
BKQ,Blackall Airport,"Blackall, Queensland",Australia
BVX,Batesville Regional Airport,"Batesville, Arkansas",United States
CHN,Chonju Airport,Chonju,South Korea
CTN,Cooktown Airport,"Cooktown, Queensland",Australia
DMM,King Fahd International Airport,Dammam,Saudi Arabia
EME,Emden Airport,"Emden, Lower Saxony",Germany
FNG,Fada N'gourma Airport,Fada N'gourma,Burkina Faso
GMC,Guerima Airport,Guerima,Colombia
HFF,Mackall Army Airfield,"Camp Mackall, North Carolina",United States
ICN,Incheon International Airport,Incheon,South Korea
JBT,Bethel Seaplane Base,"Bethel, Alaska",United States
KCU,Masindi Airport,Masindi,Uganda
KPG,Kurupung Airport,Kurupung,Guyana
LDN,Lamidanda Airport,Lamidanda,Nepal
